"","item","tecnica","medicion","valor"
"1","x1.1","TC","3 meses",79.2352941176471
"2","x2.1","TC","3 meses",89.4705882352941
"3","x2.2","TC","3 meses",65.8235294117647
"4","x3.1","TC","3 meses",86.5294117647059
"5","x3.2","TC","3 meses",65
"6","x4.1","TC","3 meses",89.2941176470588
"7","x4.2","TC","3 meses",61.7058823529412
"8","x5.1","TC","3 meses",88.9411764705882
"9","x5.2","TC","3 meses",74.5882352941177
"10","x6.1","TC","3 meses",86.5882352941177
"11","x6.2","TC","3 meses",60.3529411764706
"12","x7.1","TC","3 meses",88.4705882352941
"13","x7.2","TC","3 meses",88.3529411764706
"14","x8.1","TC","3 meses",88.9411764705882
"15","x8.2","TC","3 meses",83.3529411764706
"16","x1.1","TS","3 meses",80.05
"17","x2.1","TS","3 meses",81.95
"18","x2.2","TS","3 meses",76.4
"19","x3.1","TS","3 meses",82.25
"20","x3.2","TS","3 meses",64.55
"21","x4.1","TS","3 meses",83.35
"22","x4.2","TS","3 meses",73.55
"23","x5.1","TS","3 meses",80.85
"24","x5.2","TS","3 meses",77.7
"25","x6.1","TS","3 meses",78.75
"26","x6.2","TS","3 meses",68.1
"27","x7.1","TS","3 meses",89.15
"28","x7.2","TS","3 meses",93.35
"29","x8.1","TS","3 meses",81.55
"30","x8.2","TS","3 meses",81.4
"31","x1.1","TC","6 meses",81.7857142857143
"32","x2.1","TC","6 meses",93.2142857142857
"33","x2.2","TC","6 meses",73.9285714285714
"34","x3.1","TC","6 meses",92.7142857142857
"35","x3.2","TC","6 meses",74.2142857142857
"36","x4.1","TC","6 meses",92.3571428571429
"37","x4.2","TC","6 meses",73.5
"38","x5.1","TC","6 meses",92.1428571428571
"39","x5.2","TC","6 meses",75.2142857142857
"40","x6.1","TC","6 meses",92.8571428571429
"41","x6.2","TC","6 meses",71.5714285714286
"42","x7.1","TC","6 meses",95.9285714285714
"43","x7.2","TC","6 meses",91.6428571428571
"44","x8.1","TC","6 meses",93
"45","x8.2","TC","6 meses",91.3571428571429
"46","x1.1","TS","6 meses",78.3888888888889
"47","x2.1","TS","6 meses",78.1666666666667
"48","x2.2","TS","6 meses",74.7777777777778
"49","x3.1","TS","6 meses",77.8888888888889
"50","x3.2","TS","6 meses",71
"51","x4.1","TS","6 meses",79.3888888888889
"52","x4.2","TS","6 meses",72.7222222222222
"53","x5.1","TS","6 meses",73.8888888888889
"54","x5.2","TS","6 meses",71.7222222222222
"55","x6.1","TS","6 meses",75.2222222222222
"56","x6.2","TS","6 meses",68.7222222222222
"57","x7.1","TS","6 meses",87.6666666666667
"58","x7.2","TS","6 meses",87.6666666666667
"59","x8.1","TS","6 meses",79.6666666666667
"60","x8.2","TS","6 meses",76.3333333333333
