"","item","tecnica","medicion","valor"
"1","x1.1","TC","3 meses",24.3349784563412
"2","x2.1","TC","3 meses",22.2713876056781
"3","x2.2","TC","3 meses",34.3715639993979
"4","x3.1","TC","3 meses",23.9898875754421
"5","x3.2","TC","3 meses",32.832910318764
"6","x4.1","TC","3 meses",22.2535522610502
"7","x4.2","TC","3 meses",35.3443147936877
"8","x5.1","TC","3 meses",22.4150356575539
"9","x5.2","TC","3 meses",33.6805931203887
"10","x6.1","TC","3 meses",24.2075887469441
"11","x6.2","TC","3 meses",34.7507934738018
"12","x7.1","TC","3 meses",22.5752011260665
"13","x7.2","TC","3 meses",22.0820661863609
"14","x8.1","TC","3 meses",22.3982995678112
"15","x8.2","TC","3 meses",29.068757232789
"16","x1.1","TS","3 meses",28.5352505914315
"17","x2.1","TS","3 meses",28.5629038034338
"18","x2.2","TS","3 meses",32.0844280970659
"19","x3.1","TS","3 meses",28.4251093596008
"20","x3.2","TS","3 meses",38.0615498757916
"21","x4.1","TS","3 meses",28.3071034417716
"22","x4.2","TS","3 meses",32.1893656843047
"23","x5.1","TS","3 meses",31.5332322612527
"24","x5.2","TS","3 meses",35.8360300902817
"25","x6.1","TS","3 meses",31.5292262078085
"26","x6.2","TS","3 meses",35.4829833196584
"27","x7.1","TS","3 meses",19.3778902767806
"28","x7.2","TS","3 meses",4.57999080670187
"29","x8.1","TS","3 meses",32.7694899820582
"30","x8.2","TS","3 meses",32.687354709348
"31","x1.1","TC","6 meses",21.6374979764602
"32","x2.1","TC","6 meses",13.0748059048901
"33","x2.2","TC","6 meses",31.391974196537
"34","x3.1","TC","6 meses",12.6699436670994
"35","x3.2","TC","6 meses",31.2857268302449
"36","x4.1","TC","6 meses",13.1243000859952
"37","x4.2","TC","6 meses",33.7747060569114
"38","x5.1","TC","6 meses",12.2904412066836
"39","x5.2","TC","6 meses",33.2593042422916
"40","x6.1","TC","6 meses",13.2482634151229
"41","x6.2","TC","6 meses",37.9589135892892
"42","x7.1","TC","6 meses",3.47439614486152
"43","x7.2","TC","6 meses",14.4520807277927
"44","x8.1","TC","6 meses",12.5146068502125
"45","x8.2","TC","6 meses",16.6253150015601
"46","x1.1","TS","6 meses",31.5466766943448
"47","x2.1","TS","6 meses",32.741860236778
"48","x2.2","TS","6 meses",35.1359637367814
"49","x3.1","TS","6 meses",32.5158583732866
"50","x3.2","TS","6 meses",37.330006854603
"51","x4.1","TS","6 meses",32.066362967866
"52","x4.2","TS","6 meses",34.4448503033226
"53","x5.1","TS","6 meses",34.76795158643
"54","x5.2","TS","6 meses",34.7424228820101
"55","x6.1","TS","6 meses",35.2496233697953
"56","x6.2","TS","6 meses",36.4010432228586
"57","x7.1","TS","6 meses",20.9845881821986
"58","x7.2","TS","6 meses",21.2409150129705
"59","x8.1","TS","6 meses",32.3655590368018
"60","x8.2","TS","6 meses",34.339139048442
